date,unemployment,inflation,policy_rate,country
2015-01-01,5.7,-0.08934832,0.11,US
2015-02-01,5.5,-0.0251298,0.11,US
2015-03-01,5.4,-0.07363739,0.11,US
2015-04-01,5.4,-0.1995174,0.12,US
2015-05-01,5.6,-0.03993275,0.12,US
2015-06-01,5.3,0.1237712,0.13,US
2015-07-01,5.2,0.1695698,0.13,US
2015-08-01,5.1,0.1950792999999999,0.14,US
2015-09-01,5.0,-0.03612975,0.14,US
2015-10-01,5.0,0.1705744,0.12,US
2015-11-01,5.1,0.5017976,0.12,US
2015-12-01,5.0,0.7295198,0.24,US
2016-01-01,4.8,1.3730870000000002,0.34,US
2016-02-01,4.9,1.0178,0.38,US
2016-03-01,5.0,0.8525362,0.36,US
2016-04-01,5.1,1.12511,0.37,US
2016-05-01,4.8,1.019323,0.37,US
2016-06-01,4.9,0.9973265,0.38,US
2016-07-01,4.8,0.8271388000000001,0.39,US
2016-08-01,4.9,1.062875,0.4,US
2016-09-01,5.0,1.463784,0.4,US
2016-10-01,4.9,1.635988,0.4,US
2016-11-01,4.7,1.692537,0.41,US
2016-12-01,4.7,2.074622,0.54,US
2017-01-01,4.7,2.500042,0.65,US
2017-02-01,4.6,2.7379580000000003,0.66,US
2017-03-01,4.4,2.380612,0.79,US
2017-04-01,4.4,2.1996900000000004,0.9,US
2017-05-01,4.4,1.874878,0.91,US
2017-06-01,4.3,1.6334879999999998,1.04,US
2017-07-01,4.3,1.7279779999999998,1.15,US
2017-08-01,4.4,1.938974,1.16,US
2017-09-01,4.3,2.232964,1.15,US
2017-10-01,4.2,2.041129,1.15,US
2017-11-01,4.2,2.202583,1.16,US
2017-12-01,4.1,2.109082,1.3,US
2018-01-01,4.0,2.070508,1.41,US
2018-02-01,4.1,2.211795,1.42,US
2018-03-01,4.0,2.359711,1.51,US
2018-04-01,4.0,2.462744,1.69,US
2018-05-01,3.8,2.801012,1.7,US
2018-06-01,4.0,2.871548,1.82,US
2018-07-01,3.8,2.9495150000000003,1.91,US
2018-08-01,3.8,2.69918,1.91,US
2018-09-01,3.7,2.276972,1.95,US
2018-10-01,3.8,2.52247,2.19,US
2018-11-01,3.8,2.176601,2.2,US
2018-12-01,3.9,1.910159,2.27,US
2019-01-01,4.0,1.551235,2.4,US
2019-02-01,3.8,1.520135,2.4,US
2019-03-01,3.8,1.862523,2.41,US
2019-04-01,3.7,1.99644,2.42,US
2019-05-01,3.6,1.790228,2.39,US
2019-06-01,3.6,1.6484849999999998,2.38,US
2019-07-01,3.7,1.811465,2.4,US
2019-08-01,3.6,1.74978,2.13,US
2019-09-01,3.5,1.711305,2.04,US
2019-10-01,3.6,1.764043,1.83,US
2019-11-01,3.6,2.051278,1.55,US
2019-12-01,3.6,2.28513,1.55,US
2020-01-01,3.6,2.486572,1.55,US
2020-02-01,3.5,2.334874,1.58,US
2020-03-01,4.4,1.539327,0.65,US
2020-04-01,14.8,0.3290967,0.05,US
2020-05-01,13.2,0.1179263999999999,0.05,US
2020-06-01,11.0,0.6457331000000001,0.08,US
2020-07-01,10.2,0.9860818,0.09,US
2020-08-01,8.4,1.3096450000000002,0.1,US
2020-09-01,7.8,1.371325,0.09,US
2020-10-01,6.9,1.182066,0.09,US
2020-11-01,6.7,1.174536,0.09,US
2020-12-01,6.7,1.362005,0.09,US
2021-01-01,6.4,1.3997700000000002,0.09,US
2021-02-01,6.2,1.6762150000000002,0.08,US
2021-03-01,6.1,2.619762,0.07,US
2021-04-01,6.1,4.159695,0.07,US
2021-05-01,5.8,4.992707,0.06,US
2021-06-01,5.9,5.391451,0.08,US
2021-07-01,5.4,5.365475,0.1,US
2021-08-01,5.1,5.251272,0.09,US
2021-09-01,4.7,5.390349,0.08,US
2021-10-01,4.5,6.221869,0.08,US
2021-11-01,4.2,6.809003,0.08,US
2021-12-01,3.9,7.036403,0.08,US
2022-01-01,4.0,7.479872999999999,0.08,US
2022-02-01,3.8,7.871064,0.08,US
2022-03-01,3.7,8.542456,0.2,US
2022-04-01,3.7,8.25863,0.33,US
2022-05-01,3.6,8.581511,0.77,US
2022-06-01,3.6,9.059758,1.21,US
2022-07-01,3.5,8.524815,1.68,US
2022-08-01,3.6,8.262692,2.33,US
2022-09-01,3.5,8.20167,2.56,US
2022-10-01,3.6,7.745427,3.08,US
2022-11-01,3.6,7.110322999999999,3.78,US
2022-12-01,3.5,6.454401,4.1,US
2023-01-01,3.5,6.410147,4.33,US
2023-02-01,3.6,6.035613,4.57,US
2023-03-01,3.5,4.984974,4.65,US
2023-04-01,3.4,4.93032,4.83,US
2023-05-01,3.6,4.047609,5.06,US
2023-06-01,3.6,2.969178,5.08,US
2023-07-01,3.5,3.17778,5.12,US
2023-08-01,3.7,3.665112,5.33,US
2023-09-01,3.8,3.699698,5.33,US
2023-10-01,3.9,3.241145,5.33,US
2023-11-01,3.7,3.137271,5.33,US
2023-12-01,3.8,3.352123,5.33,US
2024-01-01,3.7,3.090885,5.33,US
2024-02-01,3.9,3.153171,5.33,US
2024-03-01,3.9,3.477385,5.33,US
2024-04-01,3.9,3.357364,5.33,US
2024-05-01,4.0,3.269029,5.33,US
2024-06-01,4.1,2.971397,5.33,US
2024-07-01,4.2,2.894753,5.33,US
2024-08-01,4.2,2.53073,5.33,US
2024-09-01,4.1,2.440633,5.13,US
2024-10-01,4.1,2.597905,4.83,US
2024-11-01,4.2,2.74938,4.64,US
2024-12-01,4.1,2.888057,4.48,US
2025-01-01,4.0,3.000483,4.33,US
2025-02-01,4.1,2.821549,4.33,US
2025-03-01,4.2,2.390725,4.33,US
2025-04-01,4.2,2.311289,4.33,US
2025-05-01,4.2,,4.33,US
2025-06-01,4.1,,4.33,US
2025-07-01,4.2,,4.33,US
2025-08-01,4.3,,4.33,US
2025-09-01,4.4,,4.22,US
2025-10-01,,,4.09,US
2025-11-01,4.6,,3.88,US
2015-01-01,5.6,0.54,0.4355,UK
2015-02-01,5.5,0.35,0.4511,UK
2015-03-01,5.5,0.33,0.4568,UK
2015-04-01,5.6,0.26,0.4574,UK
2015-05-01,5.6,0.45,0.462,UK
2015-06-01,5.5,0.34,0.4566,UK
2015-07-01,5.4,0.47,0.4549,UK
2015-08-01,5.3,0.37,0.459,UK
2015-09-01,5.2,0.25,0.4544,UK
2015-10-01,5.1,0.25,0.4622,UK
2015-11-01,5.1,0.44,0.4636,UK
2015-12-01,5.1,0.52,0.4575,UK
2016-01-01,5.1,0.64,0.4659,UK
2016-02-01,5.1,0.62,0.4657,UK
2016-03-01,5.0,0.76,0.4646,UK
2016-04-01,4.9,0.7,0.4663,UK
2016-05-01,4.9,0.73,0.4633,UK
2016-06-01,4.9,0.84,0.4598,UK
2016-07-01,5.0,0.9,0.4577,UK
2016-08-01,4.8,0.96,0.2478,UK
2016-09-01,4.8,1.26,0.213,UK
2016-10-01,4.8,1.28,0.212,UK
2016-11-01,4.7,1.47,0.2108,UK
2016-12-01,4.7,1.79,0.2125,UK
2017-01-01,4.6,1.93,0.2135,UK
2017-02-01,4.6,2.33,0.2106,UK
2017-03-01,4.5,2.35,0.2095,UK
2017-04-01,4.4,2.65,0.2114,UK
2017-05-01,4.4,2.73,0.2126,UK
2017-06-01,4.3,2.57,0.2121,UK
2017-07-01,4.3,2.55,0.2124,UK
2017-08-01,4.3,2.74,0.2132,UK
2017-09-01,4.2,2.81,0.2123,UK
2017-10-01,4.3,2.78,0.211,UK
2017-11-01,4.4,2.85,0.4493,UK
2017-12-01,4.3,2.72,0.4619,UK
2018-01-01,4.2,2.71,0.4631,UK
2018-02-01,4.2,2.45,0.4634,UK
2018-03-01,4.2,2.29,0.4637,UK
2018-04-01,4.2,2.2,0.4617,UK
2018-05-01,4.0,2.3,0.4529,UK
2018-06-01,4.0,2.3,0.4507,UK
2018-07-01,4.0,2.29,0.4545,UK
2018-08-01,4.1,2.39,0.6911,UK
2018-09-01,4.1,2.2,0.7012,UK
2018-10-01,4.0,2.23,0.7011,UK
2018-11-01,4.0,2.15,0.7017,UK
2018-12-01,3.9,2.01,0.7026,UK
2019-01-01,4.0,1.77,0.7053,UK
2019-02-01,3.8,1.81,0.7061,UK
2019-03-01,3.8,1.84,0.7053,UK
2019-04-01,3.8,2.0,0.7081,UK
2019-05-01,3.9,1.96,0.7094,UK
2019-06-01,3.9,1.94,0.7085,UK
2019-07-01,3.9,1.99,0.709,UK
2019-08-01,3.9,1.7,0.7101,UK
2019-09-01,3.8,1.69,0.7098,UK
2019-10-01,3.8,1.5,0.7108,UK
2019-11-01,3.7,1.5,0.7105,UK
2019-12-01,3.9,1.37,0.7101,UK
2020-01-01,3.9,1.75,0.7113,UK
2020-02-01,4.1,1.73,0.7104,UK
2020-03-01,4.1,1.55,0.3192,UK
2020-04-01,4.1,0.92,0.0659,UK
2020-05-01,4.1,0.68,0.0674,UK
2020-06-01,4.4,0.8,0.0646,UK
2020-07-01,4.6,1.15,0.0599,UK
2020-08-01,5.0,0.51,0.0562,UK
2020-09-01,5.2,0.75,0.0547,UK
2020-10-01,5.2,0.89,0.0538,UK
2020-11-01,5.3,0.58,0.0537,UK
2020-12-01,5.2,0.82,0.0492,UK
2021-01-01,5.0,0.93,0.0494,UK
2021-02-01,4.9,0.73,0.0486,UK
2021-03-01,4.8,0.96,0.0486,UK
2021-04-01,4.8,1.64,0.0486,UK
2021-05-01,4.7,2.12,0.0495,UK
2021-06-01,4.6,2.45,0.0498,UK
2021-07-01,4.5,2.09,0.0506,UK
2021-08-01,4.4,3.03,0.0504,UK
2021-09-01,4.3,2.92,0.05,UK
2021-10-01,4.2,3.83,0.0502,UK
2021-11-01,4.2,4.58,0.0468,UK
2021-12-01,4.1,4.84,0.1141,UK
2022-01-01,3.9,4.9,0.1958,UK
2022-02-01,3.8,5.48,0.4199,UK
2022-03-01,3.8,6.22,0.5623,UK
2022-04-01,3.7,7.78,0.6906,UK
2022-05-01,3.8,7.87,0.9158,UK
2022-06-01,3.6,8.18,1.0767,UK
2022-07-01,3.6,8.76,1.1908,UK
2022-08-01,3.7,8.61,1.622,UK
2022-09-01,3.8,8.81,1.8569,UK
2022-10-01,3.9,9.59,2.1857,UK
2022-11-01,3.9,9.35,2.8599,UK
2022-12-01,3.9,9.24,3.1779,UK
2023-01-01,4.0,8.84,3.4275,UK
2023-02-01,4.0,9.16,3.9021,UK
2023-03-01,3.9,8.87,4.0031,UK
2023-04-01,4.0,7.85,4.1774,UK
2023-05-01,4.2,7.89,4.3528,UK
2023-06-01,4.3,7.31,4.5872,UK
2023-07-01,4.3,6.39,4.9302,UK
2023-08-01,4.1,6.3,5.1609,UK
2023-09-01,4.0,6.34,5.1854,UK
2023-10-01,4.0,4.74,5.1871,UK
2023-11-01,3.9,4.21,5.1875,UK
2023-12-01,4.1,4.2,5.187,UK
2024-01-01,4.2,4.22,5.1875,UK
2024-02-01,4.3,3.84,5.1883,UK
2024-03-01,4.4,3.75,5.1891,UK
2024-04-01,4.4,3.04,5.1979,UK
2024-05-01,4.2,2.81,5.2,UK
2024-06-01,4.2,2.8,5.2,UK
2024-07-01,4.1,3.1,5.2,UK
2024-08-01,4.3,3.08,4.95,UK
2024-09-01,4.3,2.65,4.95,UK
2024-10-01,4.4,3.18,4.95,UK
2024-11-01,4.4,3.5,4.7476,UK
2024-12-01,4.4,3.46,4.7,UK
2025-01-01,4.4,3.87,4.7002,UK
2025-02-01,4.5,3.66,4.4919,UK
2025-03-01,4.6,3.43,4.4555,UK
2025-04-01,4.7,,4.4577,UK
2025-05-01,4.7,,4.2604,UK
2025-06-01,4.7,,4.2144,UK
2025-07-01,4.8,,4.2172,UK
2025-08-01,5.0,,4.0172,UK
2025-09-01,,,3.9672,UK
2025-10-01,,,3.9682,UK
2025-11-01,,,3.9693,UK
